"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223823",11.7233176847443,3.4421367412848,0.5463937520977,6.29973664243019,2.98151786145585e-10,1.34285535091171e-07,"LINC01342","254099"
"ENSG00000242485",2806.72153828769,-0.473999927966981,0.151693688087846,-3.12471754060383,0.00177975868229324,0.0282356042338234,"MRPL20","55052"
"ENSG00000272449",100.354243521594,1.08861315567542,0.30850293955561,3.52869621678009,0.000417612223092944,0.0102516253560467,NA,NA
"ENSG00000238164",880.453852691839,0.89624608703137,0.288408755555079,3.10755505777358,0.00188641843393299,0.0293001006863666,NA,NA
"ENSG00000078900.10",134.02714013459,1.42793277723759,0.330385299202142,4.32202274340277,1.54605247337608e-05,0.000836833905181267,NA,NA
"ENSG00000069424.10",2167.16590421161,1.38692091441262,0.314371430690465,4.41172695421617,1.02549385566627e-05,0.000601068221856359,NA,NA
"ENSG00000270171",6.82132558851407,1.70517140385833,0.533797956513452,3.19441350992763,0.0014011526257456,0.0239185389882664,NA,NA
"ENSG00000238290",52.1627862636134,1.37722072689187,0.350776711999445,3.92620342166286,8.62971807645617e-05,0.00318863611568539,NA,NA
"ENSG00000232912",37.451795464893,0.652585401554618,0.227093951410324,2.87363620872269,0.0040577606331659,0.0487769161656373,NA,NA
"ENSG00000074800",24765.3361980147,-0.702269655580968,0.225554182465888,-3.11352974218147,0.00184863876509341,0.0289103184069569,"ENO1","2023"
"ENSG00000236269",5.42151154095354,-1.65195988989589,0.543039439149695,-3.04206245587349,0.00234963136801958,0.0338401243808066,NA,NA
"ENSG00000171621",2754.87425777991,-0.652612765749025,0.178024159382317,-3.66586629597559,0.000246502698138882,0.0069139522757243,"SPSB1","80176"
"ENSG00000171608.11",2515.84478416778,1.42653444122534,0.296941459057916,4.80409318978627,1.55454418744735e-06,0.000136022616401643,NA,NA
"ENSG00000054523.12",4380.32027587171,-0.322982315484872,0.099645872490192,-3.24130149511876,0.00118985269331929,0.0214949639499258,NA,NA
"ENSG00000177000",3883.81985043809,-0.407487026470547,0.138854033733139,-2.93464306016264,0.00333931578483813,0.0427915466138849,"MTHFR","4524"
"ENSG00000120949.10",49.5489950855452,1.38494147472758,0.458589522432895,3.02000243568634,0.0025277265275563,0.035466502311138,NA,NA
"ENSG00000162493.12",788.667670648817,-0.999870464744665,0.304386209516732,-3.28487439142575,0.00102027845765982,0.0192610476537037,NA,NA
"ENSG00000142621.15",144.955837215472,-1.12412827517123,0.288765755302624,-3.89287252566757,9.90642126433111e-05,0.00358604906808433,NA,NA
"ENSG00000236045",8.14236288229824,-1.69416519668483,0.517313354468173,-3.27493033391053,0.0010568803342958,0.0197818317163962,NA,NA
"ENSG00000116771",48.2232551340208,0.976995545689198,0.266808686808421,3.6617831202427,0.000250465858834732,0.00697708849927805,"AGMAT","79814"
"ENSG00000162458",2677.47019710681,-0.697614417104547,0.204459163206661,-3.4119987882344,0.00064488399912734,0.0139025758585339,"FBLIM1","54751"
"ENSG00000227959",25.8301695827849,-0.907753723035488,0.316077164211086,-2.87193706416976,0.00407964206005663,0.0489245497658548,NA,NA
"ENSG00000272426",9.67104515136487,1.48778183606542,0.429114526709712,3.46709734455547,0.000526111322252257,0.0120444024616739,NA,NA
"ENSG00000127463",2714.14004355736,-0.343554257883709,0.0979324741882014,-3.50807289136272,0.0004513653604496,0.0108104088218512,"EMC1","23065"
"ENSG00000053372",1309.39003807536,-0.613336041663136,0.181942904416485,-3.37103578526563,0.000748861295528091,0.0154010587274252,"MRTO4","51154"
"ENSG00000226396",128.976362703429,0.925354177273266,0.300662665816414,3.07771560117241,0.00208593884694044,0.0312835991634995,NA,NA
"ENSG00000117215.10",113.741375475426,3.97399957234598,0.989496244492821,4.01618459338662,5.91479332033647e-05,0.00241372645869239,NA,NA
"ENSG00000117298.10",13236.7599181615,-0.590177853601201,0.171795981211781,-3.43534144069214,0.000591807669463329,0.0131167939172039,NA,NA
"ENSG00000231105",41.7036448328161,1.04658091040055,0.293160947146879,3.56998747816227,0.000356998292482628,0.00912488915149368,"ECE1-AS1","100506801"
"ENSG00000233431",14.9909938555437,-2.27383353521634,0.753243129484298,-3.01872456078438,0.00253841199864654,0.035546491046339,NA,NA
"ENSG00000218510",1072.28722567767,0.550858214729581,0.167991811574753,3.27907776912364,0.00104146930791946,0.019545076003863,"LINC00339","29092"
"ENSG00000271840",26.636336343265,1.20728711265089,0.35547573264487,3.39625747070899,0.000683140672940634,0.0144131565796092,NA,NA
"ENSG00000007968",134.987340544922,2.4142994533087,0.459451717526107,5.25474029416708,1.48233493192261e-07,2.14637583416713e-05,"E2F2","1870"
"ENSG00000188822",182.03042070953,3.42205114962506,0.459262086501771,7.45119453619837,9.2498849209776e-14,1.64908104606804e-10,"CNR2","1269"
"ENSG00000229106",18.1543964250849,3.41483952906929,0.499389170517561,6.83803280221354,8.02880162862668e-12,6.73592842519341e-09,NA,NA
"ENSG00000117602",1834.79211020676,0.527320147435322,0.144731653396425,3.64343345122281,0.000269025232068018,0.00740728257214306,"RCAN3","11123"
"ENSG00000169504.10",9556.35773584205,-0.517563463956128,0.170044055534202,-3.04370218841333,0.00233686350156234,0.0337172642296742,NA,NA
"ENSG00000020633.14",796.052103110464,1.99100411370408,0.430709536575113,4.62261441791145,3.78933678294261e-06,0.000277868462039686,NA,NA
"ENSG00000117616.13",11970.4393395806,0.67034596174483,0.203827464802945,3.28879114692862,0.00100618657407127,0.0191343146835886,NA,NA
