"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000236679",4.29649358166217,2.66361432143238,0.913253777132398,2.9166200985186,0.00353846467896477,0.0380952128847795,NA,NA
"ENSG00000187961",1080.37745716935,0.708234125774462,0.241601664703304,2.93141244140102,0.0033742447008447,0.0368214093301017,"KLHL17","339451"
"ENSG00000187642",53.8318885854337,1.13411931349488,0.347527701458366,3.2633925547105,0.00110086918385973,0.0151143306784029,"PERM1","84808"
"ENSG00000223823",11.7233176847443,3.26867028928519,0.533429352356203,6.127653596202,8.9184490132945e-10,5.17237787982606e-08,"LINC01342","254099"
"ENSG00000186891",163.420161873291,3.39835019336359,0.508468133803126,6.6835067282297,2.33291143082349e-11,1.88466336043755e-09,"TNFRSF18","8784"
"ENSG00000169962",218.661599561814,1.92497734149265,0.364336561035049,5.28351405640968,1.2672913526445e-07,4.90876428285197e-06,"TAS1R3","83756"
"ENSG00000116151",943.626034384033,-0.703078989701141,0.234433522868394,-2.99905483268207,0.0027081856272574,0.0310482973843853,"MORN1","79906"
"ENSG00000157911",757.217824176791,-0.54140225520771,0.154857709097395,-3.49612724069944,0.000472063539275515,0.00745446668224733,"PEX10","5192"
"ENSG00000272449",100.354243521594,0.966860787443075,0.307796331619428,3.14123557729253,0.00168236649449714,0.0211996739439399,NA,NA
"ENSG00000238164",880.453852691839,1.02196400241531,0.28841253615044,3.54341047742197,0.000394987388048215,0.00642069716648877,NA,NA
"ENSG00000228037",36.2710172730847,1.58221217822763,0.39484272053795,4.00719601990373,6.14438662953383e-05,0.00127631326413477,"LOC100996583","100996583"
"ENSG00000215912",62.3055714202253,-1.36601842754987,0.273239449972378,-4.99934554724058,5.75252306344979e-07,1.93797184549329e-05,"TTC34","100287898"
"ENSG00000142611.12",3475.19594074143,-0.576111402103955,0.19369210887977,-2.97436692406279,0.00293593771758927,0.033108788494558,NA,NA
"ENSG00000078900.10",134.02714013459,1.0850189258152,0.329345197914604,3.29447319312829,0.000986063494386637,0.013791987959864,NA,NA
"ENSG00000236423",23.0843939565582,1.76379128268206,0.61674729285884,2.85982817128595,0.00423870604412211,0.043994750889024,"LINC01134","100133612"
"ENSG00000069424.10",2167.16590421161,1.95505780382719,0.314450891526747,6.21737084075301,5.05553987641439e-10,3.0811078348674e-08,NA,NA
"ENSG00000215788",902.883458135794,1.12595108132151,0.345969610099889,3.25447972437933,0.00113600268901033,0.0155037779752934,"TNFRSF25","8718"
"ENSG00000228750",18.4026121167122,-1.05835638784372,0.33846512950681,-3.12692887856983,0.00176642653656082,0.022001099759448,NA,NA
"ENSG00000049247",9.40889998450155,3.42954669706858,0.822719594865894,4.1685486993021,3.06545269953921e-05,0.000687999992859492,"UTS2","10911"
"ENSG00000049249",16.1863716009038,3.29601588757974,0.678185001551859,4.86005423304499,1.1735360031201e-06,3.64720332331772e-05,"TNFRSF9","3604"
"ENSG00000142583.13",254.576929638777,2.55530449017107,0.516036473538464,4.95179046676554,7.35337574287535e-07,2.40405164959733e-05,NA,NA
"ENSG00000171608.11",2515.84478416778,1.91704659343971,0.297001340290518,6.45467320640544,1.0845267461246e-10,7.64460259378203e-09,NA,NA
"ENSG00000179840",3.84847908643483,3.61995184359192,0.842253107787699,4.29793824459758,1.72394175840868e-05,0.000409254330686034,"PIK3CD-AS1","644997"
"ENSG00000054523.12",4380.32027587171,-0.299819061210728,0.0996324220837895,-3.00925195774709,0.00261891828546329,0.0301377636352273,NA,NA
"ENSG00000230337",3.4545494301069,1.60405874762028,0.508346232832539,3.15544533237191,0.00160253294788103,0.020427836527997,"EXOSC10-AS1","105376736"
"ENSG00000028137.12",2517.90253166605,0.985777221516228,0.296303666626947,3.32691536604352,0.000878130395222316,0.0125226314075456,NA,NA
"ENSG00000116771",48.2232551340208,1.30584956855053,0.268351873297995,4.86618391182399,1.13773652000639e-06,3.5530171051261e-05,"AGMAT","79814"
"ENSG00000183888",26.7785172600699,-1.32801424570399,0.459148342247829,-2.89234245996077,0.00382380896806827,0.0405546300343537,"SRARP","149563"
"ENSG00000184908.13",1473.01659526002,-1.14655210310685,0.346803179832283,-3.30605994922344,0.000946178416422734,0.0133388282072571,NA,NA
"ENSG00000157191.15",3082.29450525875,0.365503193708011,0.105485554551023,3.46495968347229,0.000530310973446462,0.00822841487197626,NA,NA
"ENSG00000179051",3729.51847731393,0.587754770460888,0.168647528697863,3.48510751980165,0.000491939324037512,0.00772648286020132,"RCC2","55920"
"ENSG00000117215.10",113.741375475426,6.62798298305557,1.01364426966879,6.53876629246005,6.2028364172859e-11,4.71415567713729e-09,NA,NA
"ENSG00000233431",14.9909938555437,-2.68942922540666,0.750864575079819,-3.58177668072937,0.000341265457375418,0.00565344305214071,NA,NA
"ENSG00000076864.15",36103.9591300244,-1.26605347490188,0.354092905436951,-3.57548387855885,0.00034958071865816,0.00576736255596939,NA,NA
"ENSG00000184677.12",4944.28996902949,0.603017448277185,0.206707729002814,2.91724673860151,0.00353136300283062,0.0380447499691506,NA,NA
"ENSG00000007968",134.987340544922,2.29522696839719,0.458838076456627,5.0022591545193,5.66623488193964e-07,1.91292089614282e-05,"E2F2","1870"
"ENSG00000188822",182.03042070953,3.34551901995795,0.458610897070204,7.29489648268391,2.9888879225685e-13,3.41137414422124e-11,"CNR2","1269"
"ENSG00000229106",18.1543964250849,2.41532975419262,0.471172917456298,5.1262066742549,2.95638069170801e-07,1.05352268382733e-05,NA,NA
